datetime,open,high,low,close,signals,trade_type,position
2023-01-01,9.968,10.074,9.678,9.977,0,hold,100
2023-01-02,9.977,12.067,9.796,11.259,0,hold,100
2023-01-03,11.259,13.879,11.0,13.326,0,hold,100
2023-01-04,13.326,14.2,12.813,13.405,0,hold,100
2023-01-05,13.404,13.781,12.927,13.418,0,hold,100
2023-01-06,13.417,13.585,12.644,13.483,0,hold,100
2023-01-07,13.484,13.49,13.01,13.087,0,hold,100
2023-01-08,13.086,15.489,12.834,14.465,0,hold,100
2023-01-09,14.464,17.5,14.256,16.253,0,hold,100
2023-01-10,16.253,16.718,15.567,16.191,0,hold,100
2023-01-11,16.191,16.597,15.27,16.355,0,hold,100
2023-01-12,16.354,17.0,15.4,16.584,0,hold,100
2023-01-13,16.584,18.658,16.237,18.289,0,hold,100
2023-01-14,18.289,24.848,18.191,24.283,0,hold,100
2023-01-15,24.284,25.2,22.0,22.903,0,hold,100
2023-01-16,22.903,25.18,22.23,23.601,0,hold,100
2023-01-17,23.6,24.0,22.66,22.855,0,hold,100
2023-01-18,22.858,23.674,20.31,20.804,0,hold,100
2023-01-19,20.804,21.879,20.4,21.408,0,hold,100
2023-01-20,21.408,25.875,20.913,25.513,0,hold,100
2023-01-21,25.513,26.687,24.264,24.564,0,hold,100
2023-01-22,24.564,25.47,23.5,24.195,0,hold,100
2023-01-23,24.196,24.943,23.7,24.347,0,hold,100
2023-01-24,24.346,25.3,22.11,22.77,0,hold,100
2023-01-25,22.77,25.452,22.187,24.534,0,hold,100
2023-01-26,24.535,25.251,23.7,24.345,0,hold,100
2023-01-27,24.345,24.994,23.242,24.441,0,hold,100
2023-01-28,24.441,25.3,23.7,24.002,0,hold,100
2023-01-29,24.002,26.869,23.71,26.09,0,hold,100
2023-01-30,26.09,26.334,22.91,23.957,0,hold,100
2023-01-31,23.957,24.494,23.481,23.913,-1,hold,100
2023-02-01,23.912,25.248,22.45,25.011,0,Short,100
2023-02-02,25.014,26.173,24.005,24.315,0,hold,100
2023-02-03,24.32,25.072,23.97,24.683,0,hold,100
2023-02-04,24.683,24.943,24.144,24.318,0,hold,100
2023-02-05,24.318,24.46,23.0,23.464,0,hold,100
2023-02-06,23.465,23.717,22.471,22.635,0,hold,100
2023-02-07,22.637,23.953,22.526,23.817,0,hold,100
2023-02-08,23.817,24.24,22.781,23.21,0,hold,100
2023-02-09,23.209,23.345,19.99,20.482,0,hold,100
2023-02-10,20.482,21.171,19.66,20.088,0,hold,100
2023-02-11,20.087,20.888,20.078,20.782,0,hold,100
2023-02-12,20.783,22.529,20.604,21.483,1,hold,100
2023-02-13,21.484,21.595,19.72,20.748,0,Exit Short,100
2023-02-14,20.748,22.373,20.639,21.836,0,hold,100
2023-02-15,21.836,23.996,21.443,23.862,0,hold,100
2023-02-16,23.862,24.16,22.203,22.257,0,hold,100
2023-02-17,22.257,23.558,22.024,23.146,0,hold,100
2023-02-18,23.147,23.942,22.931,23.464,0,hold,100
2023-02-19,23.464,25.68,23.207,24.853,0,hold,100
2023-02-20,24.851,27.15,24.1,26.291,0,hold,100
2023-02-21,26.29,26.648,24.5,24.983,0,hold,100
2023-02-22,24.983,25.266,23.2,24.145,-1,hold,100
2023-02-23,24.144,24.685,23.59,23.909,0,Short,100
2023-02-24,23.909,24.123,22.436,23.06,0,hold,100
2023-02-25,23.058,23.327,21.4,22.359,0,hold,100
2023-02-26,22.36,23.52,22.201,23.238,0,hold,100
2023-02-27,23.238,23.4,22.309,22.665,0,hold,100
2023-02-28,22.665,22.74,21.733,21.875,0,hold,100
2023-03-01,21.877,22.904,21.639,22.499,0,hold,100
2023-03-02,22.502,22.656,21.654,21.991,0,hold,100
2023-03-03,21.991,22.003,20.291,21.404,0,hold,100
2023-03-04,21.405,21.62,20.175,20.977,0,hold,100
2023-03-05,20.976,21.727,20.821,20.96,0,hold,100
2023-03-06,20.96,21.18,20.436,20.622,0,hold,100
2023-03-07,20.621,20.958,19.682,20.233,0,hold,100
2023-03-08,20.233,20.385,18.1,18.413,0,hold,100
2023-03-09,18.412,18.773,16.628,17.318,0,hold,100
2023-03-10,17.317,18.344,15.993,18.15,0,hold,100
2023-03-11,18.151,18.859,16.927,18.061,0,hold,100
2023-03-12,18.059,20.7,17.7,20.193,0,hold,100
2023-03-13,20.193,21.418,18.872,20.399,0,hold,100
2023-03-14,20.403,22.152,19.758,20.87,0,hold,100
2023-03-15,20.869,21.473,18.633,19.24,0,hold,100
2023-03-16,19.239,19.91,18.869,19.662,0,hold,100
2023-03-17,19.662,21.696,19.405,21.598,0,hold,100
2023-03-18,21.598,23.0,21.054,21.213,1,hold,100
2023-03-19,21.212,22.439,21.209,21.864,0,Exit Short,100
2023-03-20,21.864,23.91,21.334,22.121,0,hold,100
2023-03-21,22.121,23.333,21.516,22.526,0,hold,100
2023-03-22,22.523,23.094,20.918,21.404,0,hold,100
2023-03-23,21.403,22.75,21.08,22.157,0,hold,100
2023-03-24,22.158,22.268,20.26,20.649,0,hold,100
2023-03-25,20.649,20.966,20.074,20.394,-1,hold,100
2023-03-26,20.395,21.127,20.27,20.931,0,Short,100
2023-03-27,20.929,20.978,19.297,19.887,0,hold,100
2023-03-28,19.887,20.898,19.595,20.439,0,hold,100
2023-03-29,20.44,21.55,20.412,21.086,1,hold,100
2023-03-30,21.087,21.661,20.129,20.543,0,Exit Short,100
2023-03-31,20.542,21.486,20.01,21.161,0,hold,100
2023-04-01,21.16,21.344,20.73,21.079,0,hold,100
2023-04-02,21.079,21.306,20.201,20.509,0,hold,100
2023-04-03,20.509,20.989,19.937,20.444,0,hold,100
2023-04-04,20.445,21.269,20.273,20.905,0,hold,100
2023-04-05,20.904,21.34,20.532,20.957,0,hold,100
2023-04-06,20.957,20.987,20.345,20.608,0,hold,100
2023-04-07,20.609,20.771,20.195,20.433,-1,hold,100
2023-04-08,20.434,20.726,19.821,20.025,0,Short,100
2023-04-09,20.024,20.439,19.847,20.278,0,hold,100
2023-04-10,20.277,20.95,20.063,20.893,0,hold,100
2023-04-11,20.892,23.7,20.819,22.999,1,hold,100
2023-04-12,22.999,24.492,22.311,23.798,0,Exit Short,100
2023-04-13,23.798,25.29,23.635,24.424,0,hold,100
2023-04-14,24.423,25.5,23.725,24.721,0,hold,100
2023-04-15,24.72,24.809,23.811,24.057,0,hold,100
2023-04-16,24.057,25.538,23.824,25.352,0,hold,100
2023-04-17,25.352,26.067,24.303,24.59,0,hold,100
2023-04-18,24.59,25.46,24.0,24.829,0,hold,100
2023-04-19,24.829,24.995,21.517,22.655,0,hold,100
2023-04-20,22.654,23.18,21.6,22.184,-1,hold,100
2023-04-21,22.185,22.4,20.809,21.247,0,Short,100
2023-04-22,21.246,21.99,21.033,21.782,0,hold,100
2023-04-23,21.783,22.245,20.9,21.461,0,hold,100
2023-04-24,21.461,22.0,20.974,21.373,0,hold,100
2023-04-25,21.377,21.959,20.714,21.924,0,hold,100
2023-04-26,21.923,22.977,20.291,21.256,0,hold,100
2023-04-27,21.256,22.541,21.155,22.326,0,hold,100
2023-04-28,22.325,23.498,22.135,23.331,1,hold,100
2023-04-29,23.33,23.901,22.83,23.175,0,Exit Short,100
2023-04-30,23.175,24.0,22.65,22.729,0,hold,100
2023-05-01,22.728,22.88,21.506,21.939,-1,hold,100
2023-05-02,21.939,22.37,21.726,22.244,0,Short,100
2023-05-03,22.243,22.297,21.22,22.227,0,hold,100
2023-05-04,22.227,22.473,21.61,21.726,0,hold,100
2023-05-05,21.726,23.073,21.5,22.813,0,hold,100
2023-05-06,22.813,23.233,21.51,21.908,0,hold,100
2023-05-07,21.909,22.778,21.643,21.659,0,hold,100
2023-05-08,21.659,21.816,19.838,20.615,0,hold,100
2023-05-09,20.616,20.981,20.399,20.648,0,hold,100
2023-05-10,20.649,21.294,19.626,20.909,0,hold,100
2023-05-11,20.909,20.922,19.65,20.163,0,hold,100
2023-05-12,20.164,20.938,19.79,20.898,0,hold,100
2023-05-13,20.898,21.29,20.759,20.832,1,hold,100
2023-05-14,20.832,21.29,20.611,20.917,0,Exit Short,100
2023-05-15,20.915,21.518,20.589,20.971,0,hold,100
2023-05-16,20.971,21.121,20.427,20.669,0,hold,100
2023-05-17,20.669,21.2,20.412,21.047,0,hold,100
2023-05-18,21.048,21.085,20.053,20.329,0,hold,100
2023-05-19,20.329,20.586,20.202,20.343,1,hold,100
2023-05-20,20.343,20.358,20.058,20.264,0,Long,100
2023-05-21,20.265,20.389,19.3,19.605,0,hold,100
2023-05-22,19.604,20.026,19.266,19.514,0,hold,100
2023-05-23,19.514,20.17,19.402,20.024,0,hold,100
2023-05-24,20.024,20.068,18.53,19.201,-1,hold,100
2023-05-25,19.202,19.615,18.755,19.243,0,Exit Long,100
2023-05-26,19.244,19.552,19.075,19.349,0,hold,100
2023-05-27,19.35,20.535,19.324,20.415,0,hold,100
2023-05-28,20.415,21.187,20.279,20.797,0,hold,100
2023-05-29,20.798,20.971,20.265,20.575,0,hold,100
2023-05-30,20.575,21.39,20.455,21.244,0,hold,100
2023-05-31,21.245,21.329,20.32,20.809,0,hold,100
2023-06-01,20.81,20.971,20.392,20.486,-1,hold,100
2023-06-02,20.486,21.378,20.289,21.247,0,Short,100
2023-06-03,21.246,21.34,20.95,21.183,1,hold,100
2023-06-04,21.184,22.297,21.026,21.814,0,Exit Short,100
2023-06-05,21.814,22.047,19.114,19.997,0,hold,100
2023-06-06,19.997,20.698,19.229,20.379,-1,hold,100
2023-06-07,20.38,20.523,18.499,18.627,0,Short,100
2023-06-08,18.627,19.112,18.212,18.873,0,hold,100
2023-06-09,18.873,19.378,17.095,17.384,0,hold,100
2023-06-10,17.385,17.418,12.6,15.605,0,hold,100
2023-06-11,15.606,16.18,15.101,15.534,0,hold,100
2023-06-12,15.535,15.703,14.708,15.183,0,hold,100
2023-06-13,15.183,16.0,14.751,15.025,0,hold,100
2023-06-14,15.026,15.372,13.97,14.476,0,hold,100
2023-06-15,14.476,15.089,14.161,14.766,0,hold,100
2023-06-16,14.767,15.475,14.315,15.306,0,hold,100
2023-06-17,15.307,16.211,15.154,15.633,1,hold,100
2023-06-18,15.633,15.842,15.25,15.43,1,Exit Short,100
2023-06-19,15.429,16.154,15.32,16.1,0,Long,100
2023-06-20,16.1,16.682,15.715,16.632,0,hold,100
2023-06-21,16.632,17.395,16.511,17.22,0,hold,100
2023-06-22,17.221,17.737,16.538,16.62,0,hold,100
2023-06-23,16.619,17.526,16.129,17.129,0,hold,100
2023-06-24,17.129,17.535,16.32,16.634,0,hold,100
2023-06-25,16.633,17.376,16.555,16.947,0,hold,100
2023-06-26,16.949,17.115,15.888,16.264,0,hold,100
2023-06-27,16.265,16.938,16.121,16.621,0,hold,100
2023-06-28,16.624,16.649,15.473,15.967,0,hold,100
2023-06-29,15.968,18.283,15.857,17.988,0,hold,100
2023-06-30,17.988,20.038,16.991,18.858,0,hold,100
2023-07-01,18.858,19.008,17.9,18.677,0,hold,100
2023-07-02,18.676,19.75,18.434,19.453,0,hold,100
2023-07-03,19.454,19.658,18.85,19.251,0,hold,100
2023-07-04,19.252,19.95,19.05,19.13,0,hold,100
2023-07-05,19.13,19.375,18.151,18.981,0,hold,100
2023-07-06,18.982,20.98,18.803,19.592,0,hold,100
2023-07-07,19.592,21.982,19.259,21.484,0,hold,100
2023-07-08,21.485,22.468,21.315,21.807,0,hold,100
2023-07-09,21.807,22.392,21.0,21.314,0,hold,100
2023-07-10,21.315,21.788,20.434,21.286,0,hold,100
2023-07-11,21.286,22.38,21.187,22.05,0,hold,100
2023-07-12,22.049,23.059,21.738,21.928,0,hold,100
2023-07-13,21.928,26.887,21.349,26.018,0,hold,100
2023-07-14,26.018,33.579,25.22,26.671,0,hold,100
2023-07-15,26.67,29.111,26.424,27.459,0,hold,100
2023-07-16,27.46,28.708,26.379,27.404,0,hold,100
2023-07-17,27.403,28.488,25.5,26.79,0,hold,100
2023-07-18,26.79,27.098,24.751,25.544,0,hold,100
2023-07-19,25.543,26.984,25.34,26.298,0,hold,100
2023-07-20,26.3,27.386,25.0,25.365,0,hold,100
2023-07-21,25.365,25.996,25.029,25.493,0,hold,100
2023-07-22,25.494,25.965,23.95,24.512,0,hold,100
2023-07-23,24.512,25.249,24.128,24.752,0,hold,100
2023-07-24,24.752,24.832,22.76,23.354,0,hold,100
2023-07-25,23.353,23.58,22.7,23.264,-2,hold,100
2023-07-26,23.264,25.722,23.158,25.163,1,close Long & Short,100
2023-07-27,25.164,25.654,24.65,25.08,0,Exit Short,100
2023-07-28,25.079,25.555,24.518,24.798,0,hold,100
2023-07-29,24.799,25.378,24.724,25.159,0,hold,100
2023-07-30,25.159,25.2,23.396,24.236,0,hold,100
2023-07-31,24.236,24.769,23.5,23.716,0,hold,100
2023-08-01,23.717,24.07,22.6,24.045,0,hold,100
2023-08-02,24.045,24.276,22.743,23.135,0,hold,100
2023-08-03,23.135,23.386,22.402,22.634,-1,hold,100
2023-08-04,22.634,23.55,22.432,22.792,0,Short,100
2023-08-05,22.791,22.934,22.17,22.641,0,hold,100
2023-08-06,22.642,23.47,22.57,23.182,0,hold,100
2023-08-07,23.183,23.671,22.25,23.108,0,hold,100
2023-08-08,23.107,24.787,23.007,24.205,0,hold,100
2023-08-09,24.205,24.99,24.092,24.375,1,hold,100
2023-08-10,24.374,24.885,24.121,24.614,0,Exit Short,100
2023-08-11,24.615,24.932,24.34,24.613,0,hold,100
2023-08-12,24.613,25.3,24.383,24.902,0,hold,100
2023-08-13,24.903,24.944,24.207,24.216,0,hold,100
2023-08-14,24.217,25.29,24.044,25.175,0,hold,100
2023-08-15,25.176,25.5,23.477,23.889,0,hold,100
2023-08-16,23.888,24.012,22.3,22.811,-1,hold,100
2023-08-17,22.812,23.426,19.63,21.661,0,Short,100
2023-08-18,21.664,22.188,20.811,21.336,0,hold,100
2023-08-19,21.335,22.17,21.276,21.88,0,hold,100
2023-08-20,21.88,22.016,21.512,21.76,0,hold,100
2023-08-21,21.762,21.767,20.2,21.187,0,hold,100
2023-08-22,21.186,21.263,19.2,20.572,0,hold,100
2023-08-23,20.571,21.821,20.283,21.717,0,hold,100
2023-08-24,21.718,21.999,20.652,21.039,0,hold,100
2023-08-25,21.039,21.043,20.077,20.409,0,hold,100
2023-08-26,20.408,20.434,20.173,20.272,0,hold,100
2023-08-27,20.273,20.916,20.232,20.779,0,hold,100
2023-08-28,20.778,20.785,20.005,20.549,0,hold,100
2023-08-29,20.549,22.063,20.1,21.772,0,hold,100
2023-08-30,21.772,21.988,20.578,20.807,0,hold,100
2023-08-31,20.807,21.092,19.356,19.72,0,hold,100
2023-09-01,19.721,19.925,19.009,19.315,0,hold,100
2023-09-02,19.316,19.7,19.114,19.48,0,hold,100
2023-09-03,19.481,19.65,19.21,19.555,0,hold,100
2023-09-04,19.554,20.035,19.138,19.514,0,hold,100
2023-09-05,19.514,20.6,19.018,20.257,0,hold,100
2023-09-06,20.257,20.38,19.1,19.62,0,hold,100
2023-09-07,19.619,19.992,19.312,19.9,0,hold,100
2023-09-08,19.901,20.28,19.341,19.596,0,hold,100
2023-09-09,19.597,19.599,19.352,19.425,0,hold,100
2023-09-10,19.425,19.426,17.733,18.219,0,hold,100
2023-09-11,18.22,18.444,17.32,17.715,0,hold,100
2023-09-12,17.716,18.84,17.554,17.904,0,hold,100
2023-09-13,17.903,18.599,17.676,18.389,0,hold,100
2023-09-14,18.39,19.335,18.372,18.835,1,hold,100
2023-09-15,18.835,19.495,18.543,19.136,0,Exit Short,100
2023-09-16,19.137,19.459,18.846,19.112,0,hold,100
2023-09-17,19.111,19.126,18.6,18.798,0,hold,100
2023-09-18,18.799,20.15,18.56,19.628,0,hold,100
2023-09-19,19.627,20.444,19.553,20.019,0,hold,100
2023-09-20,20.018,20.547,19.776,20.278,0,hold,100
2023-09-21,20.277,20.288,19.273,19.442,0,hold,100
2023-09-22,19.443,19.804,19.13,19.417,-1,hold,100
2023-09-23,19.416,19.576,19.274,19.472,0,Short,100
2023-09-24,19.472,19.671,19.17,19.351,0,hold,100
2023-09-25,19.35,19.73,19.058,19.381,0,hold,100
2023-09-26,19.38,19.521,18.812,19.016,0,hold,100
2023-09-27,19.016,19.474,18.716,19.12,0,hold,100
2023-09-28,19.12,19.982,19.085,19.948,1,hold,100
2023-09-29,19.948,20.457,19.831,20.26,0,Exit Short,100
2023-09-30,20.259,21.797,20.055,21.348,0,hold,100
2023-10-01,21.347,24.506,21.118,23.873,0,hold,100
2023-10-02,23.873,24.83,22.826,23.366,0,hold,100
2023-10-03,23.366,24.777,23.165,23.594,0,hold,100
2023-10-04,23.595,23.85,22.543,23.106,0,hold,100
2023-10-05,23.106,23.75,22.483,22.682,0,hold,100
2023-10-06,22.681,23.78,22.648,23.391,0,hold,100
2023-10-07,23.391,24.208,23.064,23.279,0,hold,100
2023-10-08,23.279,23.642,23.046,23.204,0,hold,100
2023-10-09,23.204,23.364,21.5,22.077,0,hold,100
2023-10-10,22.078,22.477,21.676,22.107,-1,hold,100
2023-10-11,22.106,22.4,21.612,21.998,0,Short,100
2023-10-12,21.998,22.045,20.82,21.274,0,hold,100
2023-10-13,21.274,22.196,21.103,21.829,0,hold,100
2023-10-14,21.828,22.368,21.78,21.983,1,hold,100
2023-10-15,21.982,22.171,21.64,21.918,0,Exit Short,100
2023-10-16,21.918,25.048,21.876,23.939,0,hold,100
2023-10-17,23.939,24.566,23.38,23.93,0,hold,100
2023-10-18,23.93,24.433,23.345,23.408,0,hold,100
2023-10-19,23.408,25.963,23.068,24.91,0,hold,100
2023-10-20,24.909,27.52,24.712,27.01,0,hold,100
2023-10-21,27.01,30.368,26.628,29.312,0,hold,100
2023-10-22,29.312,29.995,27.91,29.031,0,hold,100
2023-10-23,29.03,32.929,28.72,31.902,0,hold,100
2023-10-24,31.902,32.622,29.454,30.157,0,hold,100
2023-10-25,30.157,33.96,29.972,32.446,0,hold,100
2023-10-26,32.445,33.288,30.712,32.77,0,hold,100
2023-10-27,32.771,33.422,31.05,31.739,0,hold,100
2023-10-28,31.739,32.532,31.298,31.614,0,hold,100
2023-10-29,31.615,33.2,31.238,32.826,0,hold,100
2023-10-30,32.828,35.409,32.256,34.958,0,hold,100
2023-10-31,34.958,38.619,34.832,38.372,0,hold,100
2023-11-01,38.373,46.8,37.759,41.204,0,hold,100
2023-11-02,41.203,44.559,38.646,40.251,0,hold,100
2023-11-03,40.248,40.315,37.917,39.497,-1,hold,100
2023-11-04,39.497,42.785,39.035,42.422,0,Short,100
2023-11-05,42.422,42.896,40.0,41.167,0,hold,100
2023-11-06,41.167,42.241,39.656,42.181,0,hold,100
2023-11-07,42.18,45.0,40.087,42.976,0,hold,100
2023-11-08,42.976,43.913,42.27,43.142,0,hold,100
2023-11-09,43.138,49.0,40.912,45.305,0,hold,100
2023-11-10,45.305,57.573,45.055,56.679,1,hold,100
2023-11-11,56.679,64.036,53.538,56.409,0,Exit Short,100
2023-11-12,56.409,61.943,54.48,56.315,0,hold,100
2023-11-13,56.315,59.959,51.554,51.662,0,hold,100
2023-11-14,51.661,58.191,51.166,56.849,0,hold,100
2023-11-15,56.842,67.228,56.16,65.506,0,hold,100
2023-11-16,65.506,68.356,56.4,57.842,0,hold,100
2023-11-17,57.842,60.618,54.093,58.49,-1,hold,100
2023-11-18,58.498,59.4,54.7,58.581,0,Short,100
2023-11-19,58.581,62.151,56.576,61.099,0,hold,100
2023-11-20,61.099,61.358,55.961,56.603,0,hold,100
2023-11-21,56.603,57.411,51.2,51.682,0,hold,100
2023-11-22,51.684,58.923,51.479,57.579,0,hold,100
2023-11-23,57.575,59.688,56.121,56.537,1,hold,100
2023-11-24,56.539,58.84,56.196,56.869,0,Exit Short,100
2023-11-25,56.869,59.869,55.63,58.83,0,hold,100
2023-11-26,58.83,59.064,56.1,57.593,0,hold,100
2023-11-27,57.593,58.11,53.412,55.03,-1,hold,100
2023-11-28,55.03,58.67,53.923,58.183,0,Short,100
2023-11-29,58.184,61.799,57.744,59.324,1,hold,100
2023-11-30,59.324,61.762,58.738,59.309,0,Exit Short,100
2023-12-01,59.309,61.937,58.585,59.75,0,hold,100
2023-12-02,59.749,63.954,59.67,63.684,0,hold,100
2023-12-03,63.684,65.622,62.234,63.015,0,hold,100
2023-12-04,63.02,65.34,59.0,61.671,0,hold,100
2023-12-05,61.671,62.661,59.104,61.061,0,hold,100
2023-12-06,61.058,66.797,61.048,61.878,0,hold,100
2023-12-07,61.878,69.546,61.657,67.806,0,hold,100
2023-12-08,67.807,75.46,67.806,74.98,0,hold,100
2023-12-09,74.979,77.879,71.472,72.368,0,hold,100
2023-12-10,72.37,74.961,70.728,74.907,0,hold,100
2023-12-11,74.904,75.024,63.501,70.286,0,hold,100
2023-12-12,70.282,72.479,65.789,68.644,-1,hold,100
2023-12-13,68.635,72.666,63.64,70.668,0,Short,100
2023-12-14,70.669,76.315,67.0,75.751,0,hold,100
2023-12-15,75.751,79.679,72.166,72.552,0,hold,100
2023-12-16,72.558,77.24,71.22,73.737,0,hold,100
2023-12-17,73.736,75.149,70.551,70.902,0,hold,100
2023-12-18,70.902,75.515,66.851,74.429,0,hold,100
2023-12-19,74.428,76.384,71.8,73.04,0,hold,100
2023-12-20,73.03,84.19,72.982,82.243,1,hold,100
2023-12-21,82.243,95.817,81.05,93.927,0,Exit Short,100
2023-12-22,93.929,99.733,90.512,97.962,0,hold,100
2023-12-23,97.962,110.388,92.88,107.965,0,hold,100
2023-12-24,107.966,118.7,107.35,112.571,0,hold,100
2023-12-25,112.572,126.938,108.0,120.942,0,hold,100
2023-12-26,120.947,121.457,102.33,112.543,0,hold,100
2023-12-27,112.533,115.5,104.832,107.095,-1,hold,100
2023-12-28,107.089,109.826,97.32,101.913,0,Short,100
2023-12-29,101.914,110.198,99.514,106.225,0,hold,100
2023-12-30,106.235,107.651,100.698,101.971,0,hold,100
2023-12-31,101.974,105.338,99.635,101.778,0,hold,100
2024-01-01,101.775,110.078,101.53,110.047,1,hold,100
